Douglas Bruggeman REX AMERICAN RESOURCES CORP,Douglas Bruggeman,REX AMERICAN RESOURCES CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Castino AUTODESK INC,Alfred Castino,AUTODESK INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Hawkins AUTODESK INC,Mark Hawkins,AUTODESK INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Herren AUTODESK INC,Richard Herren,AUTODESK INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Reidy AUTOMATIC DATA PROCESSING,Christopher Reidy,AUTOMATIC DATA PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Siegmund AUTOMATIC DATA PROCESSING,Jan Siegmund,AUTOMATIC DATA PROCESSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel O'Bryant AVERY DENNISON CORP,Daniel O'Bryant,AVERY DENNISON CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Butier AVERY DENNISON CORP,Mitchell Butier,AVERY DENNISON CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Bramman AVERY DENNISON CORP,Anne Bramman,AVERY DENNISON CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Sadowski AVNET INC,Raymond Sadowski,AVNET INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Moriarty AVNET INC,Kevin Moriarty,AVNET INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Cramb AVON PRODUCTS,Charles Cramb,AVON PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimberly Ross AVON PRODUCTS,Kimberly Ross,AVON PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Scully AVON PRODUCTS,James Scully,AVON PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dana Perry AZZ INC,Dana Perry,AZZ INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Fehlman AZZ INC,Paul Fehlman,AZZ INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Johnson BADGER METER INC,Richard Johnson,BADGER METER INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Ragauss BAKER HUGHES INC,Peter Ragauss,BAKER HUGHES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Fitzpatrick BALCHEM CORP  -CL B,Francis Fitzpatrick,BALCHEM CORP  -CL B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Backus BALCHEM CORP  -CL B,William Backus,BALCHEM CORP  -CL B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronald Tucker BALDOR ELECTRIC CO,Ronald Tucker,BALDOR ELECTRIC CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Moschner BALDOR ELECTRIC CO,George Moschner,BALDOR ELECTRIC CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Seabrook BALL CORP,Raymond Seabrook,BALL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Morrison BALL CORP,Scott Morrison,BALL CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Smith CONSTELLATION ENERGY GRP INC,E. Smith,CONSTELLATION ENERGY GRP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Collins CONSTELLATION ENERGY GRP INC,John Collins,CONSTELLATION ENERGY GRP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Thayer CONSTELLATION ENERGY GRP INC,Jonathan Thayer,CONSTELLATION ENERGY GRP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Junquera POPULAR INC,Jorge Junquera,POPULAR INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Vzquez POPULAR INC,Carlos Vzquez,POPULAR INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Keene BANK OF HAWAII CORP,Richard Keene,BANK OF HAWAII CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Stevens BANK OF HAWAII CORP,Daniel Stevens,BANK OF HAWAII CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent Lucien BANK OF HAWAII CORP,Kent Lucien,BANK OF HAWAII CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Cushman BANCTEC INC-REDH,Jeffrey Cushman,BANCTEC INC-REDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warren Heidbreder BANDAG INC,Warren Heidbreder,BANDAG INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Van BANK OF NEW YORK MELLON CORP,Bruce Van,BANK OF NEW YORK MELLON CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Gibbons BANK OF NEW YORK MELLON CORP,Thomas Gibbons,BANK OF NEW YORK MELLON CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Lange BRE PROPERTIES INC,Edward Lange,BRE PROPERTIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Schissel BRE PROPERTIES INC,John Schissel,BRE PROPERTIES INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Schermerhorn BARD (C.R.) INC,Todd Schermerhorn,BARD (C.R.) INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Holland BARD (C.R.) INC,Christopher Holland,BARD (C.R.) INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Denninger BARNES GROUP INC,William Denninger,BARNES GROUP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Boyle BARNES GROUP INC,Francis Boyle,BARNES GROUP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Stephens BARNES GROUP INC,Christopher Stephens,BARNES GROUP INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Sokalsky BARRICK GOLD CORP,Jamie Sokalsky,BARRICK GOLD CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammar Al-Joundi BARRICK GOLD CORP,Ammar Al-Joundi,BARRICK GOLD CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Usmar BARRICK GOLD CORP,Shaun Usmar,BARRICK GOLD CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Raw BARRICK GOLD CORP,Catherine Raw,BARRICK GOLD CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barry Safrit BASSETT FURNITURE INDS,Barry Safrit,BASSETT FURNITURE INDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Daniel BASSETT FURNITURE INDS,J. Daniel,BASSETT FURNITURE INDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen McCluski BAUSCH & LOMB HLDGS  -REDH,Stephen McCluski,BAUSCH & LOMB HLDGS  -REDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Davis BAXTER INTERNATIONAL INC,Robert Davis,BAXTER INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Hombach BAXTER INTERNATIONAL INC,Robert Hombach,BAXTER INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Saccaro BAXTER INTERNATIONAL INC,James Saccaro,BAXTER INTERNATIONAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Eisele APPLIED INDUSTRIAL TECH INC,Mark Eisele,APPLIED INDUSTRIAL TECH INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Considine BECTON DICKINSON & CO,John Considine,BECTON DICKINSON & CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Elkins BECTON DICKINSON & CO,David Elkins,BECTON DICKINSON & CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suketu Upadhyay BECTON DICKINSON & CO,Suketu Upadhyay,BECTON DICKINSON & CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Dunn BEL FUSE INC,Colin Dunn,BEL FUSE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
